date,time,who,stage,hours,gpu_hours,what_changed,outcome,blocker
2026-09-23,,lahiru+claude,setup,,0,"uv env, MuJoCo, Unitree G1 model + pretrained policy running headless on Mac",works,none
2026-09-23,,lahiru+claude,eval,,0,"E5 sweep: pretrained policy, 7 speeds x 5 gait periods x 3 seeds (105 runs, 15 s on CPU)",works,"LSTM hidden state leaked between episodes until reset"
2026-09-23,,lahiru+claude,env,,0,"StepLength env on MuJoCo Playground G1 (+step cmd obs, touchdown reward)",works,"menagerie download; jax 0.10 incompatible with brax 0.14 -> pinned jax 0.7.2"
2026-09-23,,lahiru+claude,train,,0,"CPU smoke training 20k steps in 81 s",works,"CPU far too slow for real training"
2026-09-23,,lahiru+claude,train,,,"Kaggle T4 probe run 5M steps",failed,"account not phone-verified: Kaggle silently ran without GPU + internet"
2026-09-23,,lahiru,setup,,0,"Phone-verified Kaggle account",works,"GPU + internet disabled until verified"
2026-09-23,,lahiru+claude,train,,0.2,"Kaggle T4 probe: 6.2M steps in 732 s (~12.5k steps/s incl. JIT + evals); reward -6.1 -> -3.0",works,"Warp solver prints ~30k overflow warnings (benign) -> filtered"
2026-09-23,,lahiru+claude,train,,,"Kaggle T4 full run g1-steplength-v1: 200M steps",running,
2026-09-23,,lahiru+claude,train,,,"Kaggle T4 E3 run g1-steplength-nodr: 200M steps, no randomisation/pushes/noise",running,
2026-09-23,,lahiru+claude,train,,1.6,"v1 finished: 202M steps in 95 min on T4; reward -6.0 -> +15.8",works,
2026-09-23,,lahiru+claude,eval,,0,"Evaluator matched training timing (obs uses previous phase and action from two steps back)",fixed,"off-by-one-step obs mismatch made 20 ms latency look fatal"
2026-09-23,,lahiru+claude,eval,,0,"Touchdown detector requires >= 0.1 s air time",fixed,"contact flicker produced fake steps"
2026-09-23,,lahiru+claude,eval,,0,"MJX vs MuJoCo C lock-step comparison; heading-hold outer loop; MJX tracking grid",works,"real sim-to-sim gap; slow step rates not learned"
2026-09-23,,lahiru+claude,train,,1.6,"E3 no-DR run: 202M steps in 97 min; reward +37.8",works,
2026-09-23,,lahiru+claude,eval,,0,"E3 comparison: DR costs precision (1.6 vs 5.9 cm) but buys push recovery",works,
2026-09-24,,lahiru+claude,eval,,0,"Stairs v1 eval: falls from 3 cm, 0/16 reach the top at 9-15 cm; 1/32 crossed on held-out stairs",failed,"no curriculum, trained from scratch, eval on training terrain"
2026-09-24,,lahiru+claude,env,,0,"Stairs v2: curriculum grid (row = level, pyramids + pits), per-env level up/down, warm start from flat v1, held-out test layout",works,"auto-reset keeps cached data: re-place robot on first step of each episode; num_resets_per_eval=0"
2026-09-24,,lahiru+claude,train,,2.7,"Kaggle T4 g1-stairs-v2: 202M steps in 2.7 h, warm start from g1-steplength-v1; crossing rate plateaued ~0.5 from 60M steps",works,
2026-09-24,,lahiru+claude,eval,,0,"Stairs v2 held-out: crossed 4/32 (v1: 1), fell 9 (v1: 28); walks down steps, stalls at the first riser going up; certified 3.0 cm (0.5 m/s), 4.7 cm at 0.7 m/s",failed,"eval counted a robot standing in a deep pit as fallen (absolute pelvis height) -> terrain-relative"
2026-09-24,,lahiru+claude,env,,0,"Stairs v3: spawn square to the steps (half on the border facing in), forward commands, fall = tilt > 60 deg or pelvis < 0.45 m above ground, lookahead foot clearance, feet_edge + base_height_rel costs, step_length reward off; eval stability gate",works,"training never punished sitting down: feet-only collisions let a collapsed robot sink through the steps without tipping 90 deg"
2026-09-24,,lahiru+claude,train,,5.3,"Kaggle T4 g1-stairs-v3 (warm start v2) and g1-stairs-v3-flat (warm start flat v1): 202M steps each, 2.6 h each",works,
2026-09-24,,lahiru+claude,eval,,0,"Stairs v3 held-out: worse than v2 (crossed 1-7/32, fell 12-21, certified 0 cm); same in the training engine, so not a sim-to-sim gap. Video: lunging strides, and on pyramids the robot turns away from the climb",failed,"reward loophole: body-frame velocity reward + promotion by distance in any direction pay for turning away from hard stairs; per-tick feet_edge cost dominated the return"
2026-09-24,,lahiru+claude,eval,,0,"Camera-in-the-loop eval (rendered head depth camera -> elevation map feeds the policy scan) and a camera-calibrated training scan model",works,
2026-09-24,,lahiru+claude,setup,,0,"AWS g6e.xlarge (L40S 48 GB) in us-east-1d: GPU quota request (support case, ~1.5 h), SSH-only SG, idle auto-stop, bootstrap MJX + Isaac Sim 5.1 + Isaac Lab (6 min)",works,"quota 0 on a new account; g6e.2xlarge had no capacity in any AZ -> g6e.xlarge"
2026-09-24,,lahiru+claude,env,,0,"Stairs v4: heading command (yaw rate from heading error), promotion on progress along the heading, feet_edge at touchdown only, step_length 0.25",works,
2026-09-24,,lahiru+claude,train,,0.4,"g1-stairs-v4-aws (g6e.xlarge L40S, warm start v2): 10.6M steps in 21 min = ~8.3k steps/s, 2.5x slower than the Kaggle T4; stopped, instance stopped",failed,"4 vCPUs: host-bound (GPU at 81 of 350 W); g6e.2xlarge had no capacity"
2026-09-25,,lahiru+claude,train,,5.4,"Kaggle T4 g1-stairs-v4 (warm start v3) and g1-stairs-v4b (warm start v2): 202M steps each",works,
2026-09-25,,lahiru+claude,eval,,0,"Stairs v4 held-out (0.7 m/s): crossed 10/32 (best so far), fell 10; climbs 3-8 cm pyramids and walks on; still turns right round at the exit of pits and walks back; certified 0 cm (one 3 cm pit)",failed,"heading command alone too weak: tracking_ang_vel is a cheaper price than the climb"
2026-09-25,,lahiru+claude,env,,0,"Stairs v5: turning > 60 deg off the target heading while walking ends the episode as a fall; eval reports max heading deviation",works,
2026-09-25,,lahiru+claude,train,,5.4,"Kaggle T4 g1-stairs-v5 and g1-stairs-v5-cam (camera scan model), both warm start v4, 202M steps",works,
